question_id,order,mask,hop,completes_chain,likelihood,margin,official_score,token_change
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.0,0,1,False,0.7278858843520315,6.750000030035153,0.0,2.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.0,0,2,False,-0.0009899664412264001,-0.375000060768798,0.0,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.0,0,3,False,0.017159672379053102,1.8750001697335392,1.0,-3.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.0,1,2,False,0.19308325463467624,1.5000000819563866,0.0,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.0,1,3,False,0.10442497838512221,0.6250001192092896,1.0,-3.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.0,2,1,False,0.9219591054279341,8.625000172760338,0.0,2.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.0,2,3,False,0.6202766150840922,6.625000150408596,1.0,-3.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.0,3,3,True,0.0757183563134518,6.374999511244823,1.0,-3.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.0,4,1,False,0.8151511903581007,5.499999979510903,0.0,2.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.0,4,2,False,0.6021269762638127,4.374999919906259,0.0,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.0,5,2,True,0.16437663256300583,7.24999947399192,0.0,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.0,6,1,True,0.3774008466572938,8.374999533596565,0.0,2.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,1.0,0,1,False,0.6751085621579057,6.250000172294676,0.0,2.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,1.0,0,2,False,0.0022197649811544,0.43750015017576516,0.0,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,1.0,0,3,False,0.0056383379060009,0.8750000102445483,1.0,-3.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,1.0,1,2,False,0.3091340425330842,3.687499974388629,0.0,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,1.0,1,3,False,0.06398930943708814,0.3125,1.0,-3.0
