unit,experiment,question_id,sample,replica,seed,prediction,exact_match,f1,official_score,substring_exact_match,fallback,prompt_tokens,completion_tokens
state-r1-q000-t001,state_answers,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0,0,1108149576,"

Unknown",0.0,0.0,0.0,0.0,False,244,2399
state-r1-q000-t001,state_answers,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,1,1,1837562145,"

Unknown",0.0,0.0,0.0,0.0,False,244,1574
state-r1-q000-t001,state_answers,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,2,0,1478953418,"

I am ready to answer based on the Archival Memory. Please provide the content of the **Archival Memory**.",0.0,0.0,0.0,0.0,False,244,29
state-r1-q000-t001,state_answers,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,1,749470545,"

Not provided in the archival memory.",0.0,0.0,0.0,0.0,False,244,2575
state-r1-q000-t001,state_answers,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,4,0,1214777132,"

Unknown.",0.0,0.0,0.0,0.0,False,244,2308
state-r1-q000-t002,state_answers,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0,0,163223897,"

Unknown",0.0,0.0,0.0,0.0,False,244,1366
state-r1-q000-t002,state_answers,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,1,1,418589728,"

Not provided in the Archival Memory.",0.0,0.0,0.0,0.0,False,244,1500
state-r1-q000-t002,state_answers,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,2,0,340488509,"

Unknown",0.0,0.0,0.0,0.0,False,244,1339
state-r1-q000-t002,state_answers,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,1,395925177,"

Unknown",0.0,0.0,0.0,0.0,False,244,1988
state-r1-q000-t002,state_answers,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,4,0,994173795,"

None.",0.0,0.0,0.0,0.0,False,244,2151
state-r1-q000-t003,state_answers,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0,0,587370715,"

United States of America",0.0,0.0,0.0,0.0,False,5504,2603
state-r1-q000-t003,state_answers,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,1,1,728545301,"

United States of America",0.0,0.0,0.0,0.0,False,5504,2476
state-r1-q000-t003,state_answers,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,2,0,2131506748,"

United States",0.0,0.0,0.0,0.0,False,5504,2758
