run,question_id,qa_pair_id,question,backbone,thinking_level,primary_no_conflict,match_count,match_method,all_stages_completed,final_official_score,original_prediction,wrap_id,wrap_created_at,log_line,log_sha256,retrieval_status,finish_status,finish_selection_status,successful_finish_count,last_event_is_successful_finish,termination,search_calls,max_search_calls,at_search_cap,tool_errors,trace_event_count,read_call_count,final_evidence_sources,final_evidence_hashes_valid,finish_commit_matches_final_ids,all_read_source_ids_retained,last_read_source_ids_retained,all_read_ranges_retained,last_read_ranges_retained,last_read_precedes_finish,gold_hops,package_hops,package_complete,handoff_hops,handoff_complete,read_tool_output_hops,all_tool_output_hops,handoff_prompt_sha256,handoff_bytes
rq1_qwen,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,factconsolidation_mh_262k_no0,What is the country of origin of the sport played by Christian Abbiati?,qwen3.6-27b,low,True,1,query_user_model_operator_metadata,True,0.0,Italy,af69afe1-4cc2-4144-83ba-9ad83b824038,2026-09-11T05:15:04.852Z,10,e2129d0daab8706c2387256e378b50c7fe1df917ac47e0a87519b3dd3d655a1b,sufficient,sufficient,sufficient,1,True,explicit_finish,8,8,True,0,12,3,4,True,True,True,True,True,True,True,3,"[1, 2]",False,"[1, 2]",False,[1],[1],1968113b8b0bfd53fa78e166a65655d45c71d2e68748cbefb2bf99a5045bb65d,70557
rq1_qwen,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,factconsolidation_mh_262k_no1,Which religion is the country of citizenship of Karl Lueger predominantly associated with?,qwen3.6-27b,low,True,1,query_user_model_operator_metadata,True,1.0,Atheism,8b2e1c85-f68e-4ff8-b077-3a56c6ebb5fd,2026-09-11T05:13:20.808Z,6,eeb209124f2c0664d5f961c3206c8d7c01510bb91a23d082d37a5578f76917f6,sufficient,sufficient,sufficient,1,True,explicit_finish,7,8,False,1,10,1,3,True,True,True,True,True,True,True,2,[],False,[],False,[],[1],58874852a0cdeba1f5a560a9fe06f8efd86723b1408391cb59dbd3bbd2bdd3b2,52522
rq1_qwen,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no2,factconsolidation_mh_262k_no2,"The continent where the country of citizenship of the spouse of the author of ""American Pastoral"" is related to is what?",qwen3.6-27b,low,False,1,query_user_model_operator_metadata,True,0.0,Africa,d3e21d8b-1ec6-4174-9321-5674b94d1885,2026-09-11T05:15:40.478Z,13,3ae086a0ef99065a1c638040781a63e4aef9804818e35bd8bade867ea414b85b,insufficient,insufficient,insufficient,1,True,explicit_finish,8,8,True,1,11,1,2,True,True,True,True,True,True,True,4,[1],False,[1],False,[1],"[1, 2]",147fb7c889173688f975f66d0d0408db34c9c52e26c174f5fe195fdc6599a763,35479
rq1_qwen,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no3,factconsolidation_mh_262k_no3,"What is the place of origin for the broadcaster who first aired ""Your Hit Parade""?",qwen3.6-27b,low,True,1,query_user_model_operator_metadata,True,0.0,New York City,47810cf3-699c-4873-9caf-611b9dd4339f,2026-09-11T05:12:05.810Z,3,ff1d372a1fbf769f48d1b30ae76874b92cd40f95940b34d8ac7056f08ffaa494,sufficient,sufficient,sufficient,1,True,explicit_finish,3,8,False,0,6,1,1,True,True,True,True,True,True,True,2,[1],False,[1],False,[1],[1],c69f176a06cb8d42b0601514a2a8941804f681044ccce7d519727e156474523d,18056
rq1_qwen,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no4,factconsolidation_mh_262k_no4,What is the name of the language in which Valmiki wrote his notable works?,qwen3.6-27b,low,False,1,query_user_model_operator_metadata,True,1.0,English,e736f55d-50aa-48a8-82d7-8f59e0164600,2026-09-11T05:13:55.126Z,7,7c6224d8f2b12fa11f9d28fb2e1a6d606bc0d9e559b5b13c9c3038eb50506a75,sufficient,sufficient,sufficient,1,True,explicit_finish,5,8,False,0,11,5,7,True,True,True,True,True,True,True,2,"[1, 2]",True,"[1, 2]",True,"[1, 2]","[1, 2]",007e38097fe8ff1a5e56341f74a5cc64877dc4bb3bd363bac197fb546551e952,121966
rq1_qwen,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no5,factconsolidation_mh_262k_no5,What is the language officially spoken in the country where the spouse of the Chief Executive Officer of CBS Corporation holds citizenship?,qwen3.6-27b,low,True,1,query_user_model_operator_metadata_exact_prompt,True,1.0,Walloon,c99f3fe2-33f2-45b3-a0b9-250da476e33b,2026-09-11T08:44:58.984Z,743,ed7e102477de4dbba6d7fff8da4ad57663003f5e302c1868c02c13e8e032d730,sufficient,sufficient,sufficient,1,True,explicit_finish,7,8,False,1,12,3,4,True,True,True,True,True,True,True,4,"[1, 2, 3, 4]",True,"[1, 2, 3, 4]",True,"[1, 3, 4]","[1, 2, 3, 4]",53aeb74577405fc33b92cde9a3668ed245135fb03af71ebeea9eb2cd9e8ae21e,70325
rq1_qwen,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no6,factconsolidation_mh_262k_no6,Which language was the one in which Melvil Dewey produced their notable work?,qwen3.6-27b,low,True,1,query_user_model_operator_metadata_native_answer_verified_exclude_identified_preflight,True,1.0,Italian,2a908c51-68d6-4123-9b9b-4e2f7bb71c7d,2026-09-11T05:11:09.519Z,1,c3424e1d6b9b18b85cc46d4408f1e22c65fa89d79cf9ac3e87979214dab823dc,sufficient,sufficient,sufficient,1,True,explicit_finish,2,8,False,0,4,1,2,True,True,True,True,True,True,True,2,[2],False,[2],False,[2],"[1, 2]",48c0d91d6d51d648aecaff6ad3e9a9277cffe60f8d91a476faf9116c7e91c909,34897
rq1_qwen,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no7,factconsolidation_mh_262k_no7,"In which language does the director/manager, who is affiliated with ""Revolver"", communicate officially in their country of citizenship?",qwen3.6-27b,low,True,1,query_user_model_operator_metadata_native_answer_verified_exclude_identified_preflight,True,0.0,Japanese,28978d78-31a2-4263-8155-93c669bd8c1b,2026-09-11T05:18:09.388Z,29,9506cac5dde3fd88743e46e0dc46b0b4dd24ecb3d9c849251909ec6e97fb0e31,insufficient,insufficient,insufficient,1,True,explicit_finish,8,8,True,2,12,1,4,True,True,True,True,True,True,True,4,[1],False,[1],False,[1],"[1, 2]",d3da389ea8e7090776dc4d76f3a03c11c791258a16a19f958903a00b31bca949,69792
rq1_qwen,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no8,factconsolidation_mh_262k_no8,"In which school did the author of ""Measure for Measure"" receive their education?",qwen3.6-27b,low,False,1,query_user_model_operator_metadata,True,0.0,"King Edward VI School, Stratford-upon-Avon",daddd5a2-4464-490b-86fd-af16f83765a1,2026-09-11T05:16:17.146Z,17,bad3095202f6fa10c5f5553e25e6a615a478c7cf2fd32614720f217fa5eb2fa2,insufficient,insufficient,insufficient,1,True,explicit_finish,8,8,True,0,14,3,4,True,True,True,True,True,True,True,2,[1],False,[1],False,[1],[1],d1033f16de25318a565a0019b66b263e4ecad47d7f00cb1f133110b6fad2452e,69952
rq1_qwen,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no9,factconsolidation_mh_262k_no9,What is the name of the person who created the language used as the official language of the headquarters of FC Viikingit?,qwen3.6-27b,low,False,1,query_user_model_operator_metadata,True,0.0,J. R. R. Tolkien,41f4d60e-625d-4d22-a20f-b06ed10f5366,2026-09-11T05:14:34.723Z,9,df9c09d1ccd2a1526867b4904346832eca297c5e465bddf0053ba2696f926e7a,insufficient,insufficient,insufficient,1,True,explicit_finish,8,8,True,1,11,1,1,True,True,True,True,True,True,True,3,[1],False,[1],False,[1],"[1, 2, 3]",0b412020a1dade93a277eacf61d0e02e13c22474432432c0bec35c74a1bf4ad0,18509
