run,subset,finish_status,package_complete,handoff_complete,correct,trajectories
rq1_qwen,primary64,sufficient,False,False,0.0,19
rq1_qwen,primary64,sufficient,False,False,1.0,2
rq1_qwen,primary64,sufficient,True,True,1.0,31
rq1_qwen,primary64,insufficient,False,False,0.0,10
rq1_qwen,primary64,insufficient,False,False,1.0,1
rq1_qwen,primary64,insufficient,True,True,0.0,1
rq1_qwen,full100,sufficient,False,False,0.0,30
rq1_qwen,full100,sufficient,False,False,1.0,4
rq1_qwen,full100,insufficient,False,False,0.0,24
rq1_qwen,full100,sufficient,True,True,1.0,33
rq1_qwen,full100,insufficient,True,True,0.0,2
rq1_qwen,full100,insufficient,False,False,1.0,3
rq1_qwen,full100,sufficient,True,True,0.0,4
rq1_gpt4o,primary64,sufficient,True,True,0.0,5
rq1_gpt4o,primary64,sufficient,False,False,0.0,44
rq1_gpt4o,primary64,insufficient,False,False,0.0,6
rq1_gpt4o,primary64,sufficient,False,False,1.0,3
rq1_gpt4o,primary64,sufficient,True,True,1.0,3
rq1_gpt4o,primary64,insufficient,False,False,1.0,1
rq1_gpt4o,primary64,insufficient,True,True,0.0,2
rq1_gpt4o,full100,sufficient,True,True,0.0,6
rq1_gpt4o,full100,sufficient,False,False,0.0,71
rq1_gpt4o,full100,insufficient,False,False,0.0,11
rq1_gpt4o,full100,sufficient,True,True,1.0,5
rq1_gpt4o,full100,sufficient,False,False,1.0,4
rq1_gpt4o,full100,insufficient,False,False,1.0,1
rq1_gpt4o,full100,insufficient,True,True,0.0,2
rq1_gpt5,primary64,sufficient,False,False,0.0,22
rq1_gpt5,primary64,sufficient,False,False,1.0,5
rq1_gpt5,primary64,insufficient,False,False,0.0,15
rq1_gpt5,primary64,sufficient,True,True,1.0,14
rq1_gpt5,primary64,insufficient,True,True,1.0,3
rq1_gpt5,primary64,sufficient,True,True,0.0,3
rq1_gpt5,primary64,insufficient,True,True,0.0,1
rq1_gpt5,primary64,insufficient,False,False,1.0,1
rq1_gpt5,full100,sufficient,False,False,0.0,32
rq1_gpt5,full100,sufficient,False,False,1.0,8
rq1_gpt5,full100,insufficient,False,False,0.0,29
rq1_gpt5,full100,sufficient,True,True,0.0,8
rq1_gpt5,full100,sufficient,True,True,1.0,15
rq1_gpt5,full100,insufficient,False,False,1.0,3
rq1_gpt5,full100,insufficient,True,True,1.0,3
rq1_gpt5,full100,insufficient,True,True,0.0,2
qwen_repeat1,primary64,sufficient,False,False,0.0,14
qwen_repeat1,primary64,sufficient,True,True,1.0,42
qwen_repeat1,primary64,sufficient,False,False,1.0,1
qwen_repeat1,primary64,insufficient,False,False,0.0,2
qwen_repeat1,primary64,sufficient,True,True,0.0,5
qwen_repeat1,full100,sufficient,False,False,0.0,31
qwen_repeat1,full100,sufficient,True,True,1.0,45
qwen_repeat1,full100,insufficient,False,False,0.0,6
qwen_repeat1,full100,sufficient,True,True,0.0,15
qwen_repeat1,full100,sufficient,False,False,1.0,2
qwen_repeat1,full100,insufficient,True,True,1.0,1
qwen_repeat2,primary64,sufficient,False,False,0.0,18
qwen_repeat2,primary64,sufficient,True,True,1.0,37
qwen_repeat2,primary64,sufficient,True,True,0.0,5
qwen_repeat2,primary64,insufficient,False,False,0.0,2
qwen_repeat2,primary64,sufficient,False,False,1.0,1
qwen_repeat2,primary64,insufficient,True,True,1.0,1
qwen_repeat2,full100,sufficient,False,False,0.0,36
qwen_repeat2,full100,sufficient,True,True,1.0,39
qwen_repeat2,full100,sufficient,True,True,0.0,14
qwen_repeat2,full100,insufficient,False,False,0.0,8
qwen_repeat2,full100,sufficient,False,False,1.0,1
qwen_repeat2,full100,insufficient,True,True,1.0,1
qwen_repeat2,full100,insufficient,True,True,0.0,1
qwen_repeat3,primary64,sufficient,True,True,1.0,38
qwen_repeat3,primary64,sufficient,False,False,0.0,17
qwen_repeat3,primary64,sufficient,False,False,1.0,2
qwen_repeat3,primary64,insufficient,False,False,0.0,1
qwen_repeat3,primary64,insufficient,True,True,0.0,1
qwen_repeat3,primary64,sufficient,True,True,0.0,4
qwen_repeat3,primary64,insufficient,True,True,1.0,1
qwen_repeat3,full100,sufficient,True,True,1.0,40
qwen_repeat3,full100,insufficient,False,False,0.0,3
qwen_repeat3,full100,sufficient,True,True,0.0,13
qwen_repeat3,full100,sufficient,False,False,0.0,37
qwen_repeat3,full100,sufficient,False,False,1.0,3
qwen_repeat3,full100,insufficient,True,True,0.0,3
qwen_repeat3,full100,insufficient,True,True,1.0,1
