question_id,gold_hops,order,before_condition_id,after_condition_id,before_mask,after_mask,added_hop,before_coverage,after_coverage,completes_coverage,delta_margin,delta_likelihood,delta_answer_accuracy,delta_exact_match,delta_input_tokens
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,0,coverage-q000-o0-m00,coverage-q000-o0-m01,0,1,1,0.0,0.3333333333333333,False,6.750000030035153,0.7278858843520315,0.0,0.0,2.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,0,coverage-q000-o0-m00,coverage-q000-o0-m02,0,2,2,0.0,0.3333333333333333,False,-0.375000060768798,-0.0009899664412264001,0.0,0.0,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,0,coverage-q000-o0-m00,coverage-q000-o0-m04,0,4,3,0.0,0.3333333333333333,False,1.8750001697335392,0.017159672379053102,1.0,1.0,-3.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,0,coverage-q000-o0-m01,coverage-q000-o0-m03,1,3,2,0.3333333333333333,0.6666666666666666,False,1.5000000819563866,0.19308325463467624,0.0,0.0,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,0,coverage-q000-o0-m01,coverage-q000-o0-m05,1,5,3,0.3333333333333333,0.6666666666666666,False,0.6250001192092896,0.10442497838512221,1.0,1.0,-3.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,0,coverage-q000-o0-m02,coverage-q000-o0-m03,2,3,1,0.3333333333333333,0.6666666666666666,False,8.625000172760338,0.9219591054279341,0.0,0.0,2.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,0,coverage-q000-o0-m02,coverage-q000-o0-m06,2,6,3,0.3333333333333333,0.6666666666666666,False,6.625000150408596,0.6202766150840922,1.0,1.0,-3.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,0,coverage-q000-o0-m03,coverage-q000-o0-m07,3,7,3,0.6666666666666666,1.0,True,6.374999511244823,0.0757183563134518,1.0,1.0,-3.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,0,coverage-q000-o0-m04,coverage-q000-o0-m05,4,5,1,0.3333333333333333,0.6666666666666666,False,5.499999979510903,0.8151511903581007,0.0,0.0,2.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,0,coverage-q000-o0-m04,coverage-q000-o0-m06,4,6,2,0.3333333333333333,0.6666666666666666,False,4.374999919906259,0.6021269762638127,0.0,0.0,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,0,coverage-q000-o0-m05,coverage-q000-o0-m07,5,7,2,0.6666666666666666,1.0,True,7.24999947399192,0.16437663256300583,0.0,0.0,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,0,coverage-q000-o0-m06,coverage-q000-o0-m07,6,7,1,0.6666666666666666,1.0,True,8.374999533596565,0.3774008466572938,0.0,0.0,2.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,1,coverage-q000-o1-m00,coverage-q000-o1-m01,0,1,1,0.0,0.3333333333333333,False,6.250000172294676,0.6751085621579057,0.0,0.0,2.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,1,coverage-q000-o1-m00,coverage-q000-o1-m02,0,2,2,0.0,0.3333333333333333,False,0.43750015017576516,0.0022197649811544,0.0,0.0,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,1,coverage-q000-o1-m00,coverage-q000-o1-m04,0,4,3,0.0,0.3333333333333333,False,0.8750000102445483,0.0056383379060009,1.0,1.0,-3.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,1,coverage-q000-o1-m01,coverage-q000-o1-m03,1,3,2,0.3333333333333333,0.6666666666666666,False,3.687499974388629,0.3091340425330842,0.0,0.0,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,1,coverage-q000-o1-m01,coverage-q000-o1-m05,1,5,3,0.3333333333333333,0.6666666666666666,False,0.3125,0.06398930943708814,1.0,1.0,-3.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,1,coverage-q000-o1-m02,coverage-q000-o1-m03,2,3,1,0.3333333333333333,0.6666666666666666,False,9.49999999650754,0.9820228397098355,0.0,0.0,2.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,1,coverage-q000-o1-m02,coverage-q000-o1-m06,2,6,3,0.3333333333333333,0.6666666666666666,False,3.1874999923165888,0.12667433476343418,1.0,1.0,-3.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,1,coverage-q000-o1-m03,coverage-q000-o1-m07,3,7,3,0.6666666666666666,1.0,True,2.9999999052961357,0.01109884940221284,1.0,1.0,-3.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,1,coverage-q000-o1-m04,coverage-q000-o1-m05,4,5,1,0.3333333333333333,0.6666666666666666,False,5.687500162050128,0.7334595336889929,0.0,0.0,2.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,1,coverage-q000-o1-m04,coverage-q000-o1-m06,4,6,2,0.3333333333333333,0.6666666666666666,False,2.7500001322478056,0.12325576183858769,0.0,0.0,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,1,coverage-q000-o1-m05,coverage-q000-o1-m07,5,7,2,0.6666666666666666,1.0,True,6.374999879684765,0.2562435824982089,0.0,0.0,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,1,coverage-q000-o1-m06,coverage-q000-o1-m07,6,7,1,0.6666666666666666,1.0,True,9.312499909487087,0.8664473543486141,0.0,0.0,2.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,2,0,coverage-q001-o0-m00,coverage-q001-o0-m01,0,1,1,0.0,0.5,False,8.124999997206032,0.935303777923745,0.0,0.0,1.0
